BORO;STREET
Brooklyn;4614 NEW UTRECHT AVENUE
Brooklyn;2436 NOSTRAND AVENUE
Queens;4226 COLLEGE POINT BLVD
Queens;713 BEACH   20th STREET
Manhattan;316 WEST   34th STREET
Manhattan;310 WEST   40th STREET
Manhattan;8 WEST   18th STREET
Queens;4605 KISSENA BOULEVARD
Manhattan;2 PENNSYLVANIA PLAZA
Bronx;1064 COLLEGE AVENUE
Manhattan;135 WEST   50th STREET
Manhattan;238 EAST   14th STREET
Queens;6908 MYRTLE AVENUE
Manhattan;170 JOHN STREET
Staten Island;500 HENDERSON AVENUE
Queens;114-46 ROCKAWAY BOULEVARD
Manhattan;1792 AMSTERDAM AVENUE
Manhattan;303 5th AVENUE
Queens;36-03 30th AVENUE
Manhattan;123 MULBERRY STREET
Manhattan;34 ST MARKS PLACE
Manhattan;509 AMSTERDAM AVENUE
Queens;3701 30TH AVE
Manhattan;236 WEST   45th STREET
Manhattan;58 3rd AVENUE
Brooklyn;171 AVENUE U
Queens;247-77 JAMAICA AVENUE
Brooklyn;107 FRANKLIN STREET
Manhattan;557 GRAND STREET
Staten Island;3161 AMBOY ROAD
Brooklyn;704 GRAND STREET
Manhattan;24 PELL STREET
Brooklyn;15 METROTECH CENTER
Brooklyn;7114 AVENUE U
Manhattan;1000 3rd AVENUE
Brooklyn;2033 86th STREET
Queens;6314 BROADWAY
Manhattan;61 READE STREET
Queens;30-13 BROADWAY
Manhattan;107 EAST   42nd STREET
Queens;13447 SPRINGFIELD BLVD
Brooklyn;742 FRANKLIN AVENUE
Brooklyn;7802 NEW UTRECHT AVENUE
Brooklyn;1777 OCEAN AVENUE
Manhattan;166 1st AVENUE
Queens;17637 UNION TPKE
Brooklyn;8407 3rd AVENUE
Bronx;2023 WILLIAMSBRIDGE ROAD
Bronx;2155 UNIVERSITY AVENUE
Queens;65-16 MYRTLE AVENUE
Brooklyn;4715 8th AVENUE
Bronx;185 EAST  167th STREET
Brooklyn;9 BAY   35th STREET
Queens;89-12 QUEENS BOULEVARD
Brooklyn;985 FLUSHING AVENUE
Brooklyn;4503 5th AVENUE
Queens;6419 MYRTLE AVE
Manhattan;914 COLUMBUS AVENUE
Queens;74-17 ROOSEVELT AVENUE
Brooklyn;1683 EAST   16th STREET
Brooklyn;225 NORTH    8th STREET
Bronx;686 NEREID AVENUE
Bronx;808 BURKE AVENUE
Brooklyn;1904 BATH AVENUE
Brooklyn;365 VAN BRUNT STREET
Brooklyn;133 ROCKAWAY AVENUE
Queens;6030 MAURICE AVE
Bronx;579 GRAND CONCOURSE
Queens;580 SENECA AVENUE
Queens;106-11 CONTINENTAL AVENUE
Queens;86-34 BROADWAY
Manhattan;127 FULTON STREET
Manhattan;97 WARREN STREET
Brooklyn;833 UNION STREET
Manhattan;900 SAINT NICHOLAS AVENUE
Manhattan;433 WEST   34th STREET
Brooklyn;91 CHURCH AVENUE
Brooklyn;215 COURT STREET
Queens;32-10 36th AVENUE
Queens;54-30 48th STREET
Queens;76-18 ROOSEVELT AVENUE
Manhattan;406 BROOME STREET
Manhattan;93 BAXTER STREET
Queens;8914 ROOSEVELT AVE
Bronx;2342 ARTHUR AVENUE
Queens;9411 ROOSEVELT AVENUE
Queens;14412 243RD ST
Manhattan;1442 1st AVENUE
Manhattan;4 PENN PLZ
Queens;3610 UNION ST
Brooklyn;2006 CHURCH AVENUE
Manhattan;94 GREENWICH STREET
Manhattan;210 WEST   50th STREET
Brooklyn;1846 EAST NEW YORK AVENUE
Manhattan;275 MADISON AVE
Manhattan;551 MADISON AVENUE
Manhattan;60 ROCKEFELLER PLAZA
Manhattan;30 HUDSON YARDS
Queens;25907 HILLSIDE AVE
Manhattan;224 WEST   51st STREET
Manhattan;26 PELL STREET
Queens;112-10 QUEENS BOULEVARD
Staten Island;9 FERRY TERMINAL DR
Manhattan;520 MADISON AVENUE
Bronx;34 CITY ISLAND AVENUE
Queens;7132 MAIN ST
Bronx;1 EAST  161st STREET
Queens;2902 DITMARS BLVD
Manhattan;126 RIVINGTON STREET
Manhattan;1675 BROADWAY
Queens;5402 FLUSHING AVE
Brooklyn;553 WILSON AVENUE
Manhattan;225 BROADWAY
Brooklyn;6606 AVENUE U
Brooklyn;6321 8th AVENUE
Queens;2716 QUEENS PLZ S
Queens;3610 UNION ST
Brooklyn;604 NOSTRAND AVENUE
Manhattan;511 EAST   12nd STREET
Manhattan;151 ELIZABETH STREET
Brooklyn;992 MANHATTAN AVENUE
Manhattan;679 9th AVENUE
Queens;160-31 CROSSBAY BOULEVARD
Queens;4209 28th STREET
Brooklyn;248 DEKALB AVENUE
Manhattan;168 LEXINGTON AVENUE
Manhattan;137 WEST   14th STREET
Manhattan;1 NEW YORK PLZ
Brooklyn;54 N 6TH ST
Manhattan;377 AMSTERDAM AVENUE
Manhattan;117 DYCKMAN STREET
Manhattan;1154 1st AVENUE
Queens;13515 LEFFERTS BOULEVARD
Manhattan;158 160 W 25TH ST
Brooklyn;658A GRAND STREET
Manhattan;224 LAFAYETTE STREET
Queens;8612A 37TH AVE
Bronx;134 PENNYFIELD AVENUE
Manhattan;110 PEARL STREET
Manhattan;30 KENMARE STREET
Manhattan;165 CHURCH STREET
Brooklyn;3719 CHURCH AVENUE
Manhattan;134 WEST   29th STREET
Brooklyn;4618 5th AVENUE
Brooklyn;301 MALCOLM X BOULEVARD
Queens;10106 88th STREET
Manhattan;149 2nd AVENUE
Staten Island;240 PAGE AVENUE
Brooklyn;165 WILSON AVENUE
Queens;164-05 89th AVENUE
Bronx;1320 JEROME AVENUE
Manhattan;222 WAVERLY PLACE
Brooklyn;1278 NOSTRAND AVENUE
Queens;15405 NORTHERN BLVD
Brooklyn;233 FLATBUSH AVENUE
Manhattan;111 EAST   48th STREET
Manhattan;71 WEST  109th STREET
Queens;22907 MERRICK BLVD
Brooklyn;1046 FLATBUSH AVENUE
Bronx;10 WEST BURNSIDE AVENUE
Manhattan;969 AMSTERDAM AVENUE
Queens;9031 37TH AVE
Bronx;304 CITY ISLAND AVENUE
Queens;38-01 BROADWAY
Queens;3769 103rd STREET
Queens;10014 NORTHERN BLVD
Queens;4021 108TH ST
Bronx;4358 KATONAH AVENUE
Manhattan;47 8TH AVE
Brooklyn;791A WASHINGTON AVENUE
Queens;99-10 37th AVENUE
Brooklyn;1906 AVENUE U
Manhattan;314 WEST   52nd STREET
Brooklyn;5705 5th AVENUE
Manhattan;64 3rd AVENUE
Queens;2802 42ND RD
Manhattan;135 SULLIVAN STREET
Queens;161-50 CROSSBAY BOULEVARD
Bronx;219 EAST  170th STREET
Manhattan;347 EAST   85th STREET
Brooklyn;56 LORRAINE STREET
Queens;10509 CROSSBAY BLVD
Manhattan;43 MOTT STREET
Brooklyn;1446 FULTON STREET
Queens;83-31 BROADWAY
Bronx;1752 CROSBY AVENUE
Manhattan;145 EAST   49th STREET
Manhattan;100 10th AVENUE
Brooklyn;7706 NEW UTRECHT AVENUE
Queens;8323 PARSONS BOULEVARD
Bronx;629 CRESCENT AVENUE
Manhattan;147 CHRISTOPHER STREET
Brooklyn;6909 8th AVENUE
Brooklyn;142 NORTH    5th STREET
Manhattan;235 EAST   42nd STREET
Brooklyn;1948 86th STREET
Brooklyn;495 LORIMER STREET
Manhattan;212 EAST   45th STREET
Manhattan;929 AMSTERDAM AVENUE
Queens;76-20 JAMAICA AVENUE
Queens;219-11 NORTH CONDUIT AVENUE
Queens;132-10 14th AVENUE
Staten Island;3115 VICTORY BOULEVARD
Queens;8926E ROOSEVELT AVE
Bronx;416 EAST  189th STREET
Brooklyn;274 TROUTMAN STREET
Manhattan;240 8th AVENUE
Manhattan;17 JOHN STREET
Manhattan;330 WEST   46th STREET
Queens;35-04 154th STREET
Queens;2598 STEINWAY ST
Manhattan;61 7th AVENUE SOUTH
Manhattan;3508 BROADWAY
Queens;135-45 ROOSEVELT AVENUE
Queens;7419 37TH AVE
Bronx;4399 WHITE PLAINS ROAD
Brooklyn;213 NORTH    8th STREET
Brooklyn;353 BROADWAY
Manhattan;30 WEST   24th STREET
Manhattan;2656 BROADWAY
Manhattan;315 5th AVENUE
Queens;3406 31ST AVE
Brooklyn;469 4th AVENUE
Queens;10315 NORTHERN BLVD
Manhattan;238 WEST   56th STREET
Manhattan;1118 1st AVENUE
Brooklyn;146 KNICKERBOCKER AVENUE
Queens;25309 NORTHERN BOULEVARD
Brooklyn;6517 18th AVENUE
Manhattan;340 WEST BROADWAY
Manhattan;10 SOUTH WILLIAM STREET
Manhattan;225 AVENUE B
Manhattan;120 EAST   34th STREET
Manhattan;525 WEST   29th STREET
Brooklyn;1337 BUSHWICK AVENUE
Queens;15302 NORTHERN BLVD
Queens;116-32 QUEENS BOULEVARD
Manhattan;154B EAST  112nd STREET
Manhattan;19 STANTON STREET
Queens;19316 NORTHERN BLVD
Manhattan;350 LENOX AVENUE
Bronx;959 LEGGETT AVENUE
Brooklyn;288 UTICA AVENUE
Brooklyn;887 5th AVENUE
Manhattan;75 9th AVENUE
Queens;2420 JACKSON AVE
Brooklyn;1972 86th STREET
Bronx;387 EAST FORDHAM ROAD
Manhattan;441 3rd AVENUE
Manhattan;6 CHATHAM SQUARE
Manhattan;130 MADISON AVENUE
Queens;5815 WOODSIDE AVE
Brooklyn;4922 8th AVENUE
Manhattan;550 3rd AVENUE
Queens;18-07 MOTT AVENUE
Manhattan;924 AMSTERDAM AVENUE
Queens;69-67 GRAND AVENUE
Brooklyn;5100 KINGS PLZ
Queens;189-25 UNION TURNPIKE
Manhattan;464 WEST   51st STREET
Brooklyn;688 WASHINGTON AVENUE
Brooklyn;655 VANDERBILT AVENUE
Brooklyn;2283 65th STREET
Manhattan;53 WEST   36th STREET
Brooklyn;2160 BATH AVENUE
Manhattan;77 PEARL STREET
Manhattan;1399 2nd AVENUE
Manhattan;1 WEST  137th STREET
Manhattan;2169 BROADWAY
Queens;123-28 ROCKAWAY BOULEVARD
Queens;87-46 PARSONS BOULEVARD
Brooklyn;2580 CONEY ISLAND AVENUE
Bronx;200A WEST  231st STREET
Manhattan;411 9th AVENUE
Manhattan;61 GROVE STREET
Queens;8812 ROOSEVELT AVENUE
Manhattan;313 WEST   46th STREET
Queens;3560 11TH ST
Brooklyn;4602 8th AVENUE
Queens;82-13 NORTHERN BOULEVARD
Manhattan;417 WEST  202nd STREET
Manhattan;22 EAST   30th STREET
Manhattan;177 LUDLOW STREET
Brooklyn;912 65th STREET
Manhattan;1702 2nd AVENUE
Brooklyn;256 MALCOLM X BOULEVARD
Manhattan;286 1st AVENUE
Queens;149-19 JAMAICA AVENUE
Staten Island;2655 RICHMOND AVENUE
Bronx;3010 BAILEY AVENUE
Queens;14125 JEWEL AVE
Brooklyn;57 4th AVENUE
Brooklyn;606 NEPTUNE AVENUE
Manhattan;68 COOPER SQUARE
Manhattan;449 THIRD AVENUE
Bronx;381 EAST  138th STREET
Queens;14912 JAMAICA AVENUE
Manhattan;14 EAST   37th STREET
Manhattan;41 WEST   46th STREET
Queens;73-20 NORTHERN BOULEVARD
Queens;16519 NORTHERN BLVD
Queens;227-02/08 LINDEN BLVD
Manhattan;134 EAST   27th STREET
Brooklyn;218 REMSEN AVENUE
Brooklyn;1077 BERGEN STREET
Brooklyn;1317 AVENUE U
Manhattan;432 COLUMBUS AVENUE
Manhattan;34 WHITE STREET
Queens;81-26 BROADWAY
Manhattan;334 BOWERY
Manhattan;104 MOTT STREET
Manhattan;11 BLEECKER STREET
Manhattan;nan W 79th STREET
Bronx;727 BURKE AVENUE
Manhattan;500 WEST   33rd STREET
Bronx;1439A WEBSTER AVENUE
Queens;154-03 CROSS ISLAND PARKWAY
Manhattan;368 WEST   23rd STREET
Manhattan;315 AUDUBON AVENUE
Manhattan;1000S 8th AVENUE
Queens;8712 ASTORIA BLVD
Brooklyn;1106 8th AVENUE
Queens;97-01 ATLANTIC AVENUE
Brooklyn;850 EAST NEW YORK AVENUE
Queens;54-18 ROOSEVELT AVENUE
Brooklyn;1673 EAST   13rd STREET
Queens;33-07 89th STREET
Manhattan;143 4th AVENUE
Queens;10708 LIBERTY AVE
Queens;29-29 DITMARS BOULEVARD
Manhattan;237 WEST   35th STREET
Brooklyn;328 MYRTLE AVENUE
Brooklyn;1262 MYRTLE AVENUE
Brooklyn;346 GRAHAM AVENUE
Manhattan;150 WEST   49th STREET
Manhattan;184 PRINCE STREET
Queens;4620 QUEENS BLVD
Manhattan;805 3rd AVENUE
Manhattan;243 WEST   38th STREET
Brooklyn;5410 8th AVENUE
Staten Island;692 ARTHUR KILL ROAD
Bronx;4272 KATONAH AVENUE
Bronx;1186 EVERGREEN AVENUE
Manhattan;78 EAST    1st STREET
Manhattan;140 WEST    4th STREET
Manhattan;124 UNIVERSITY PLACE
Manhattan;285 MADISON AVENUE
Manhattan;857 BROADWAY
Manhattan;3163 BROADWAY
Bronx;902 EAST GUN HILL ROAD
Manhattan;1384 BROADWAY
Manhattan;74 5th AVENUE
Brooklyn;8723 4th AVENUE
Brooklyn;326 EAST   98th STREET
Manhattan;1735 2nd AVENUE
Staten Island;697 FOREST AVENUE
Queens;13212 14th AVENUE
Queens;15628 NORTHERN BLVD
Manhattan;70 KENMARE STREET
Manhattan;210 1st AVENUE
Queens;989 WYCKOFF AVENUE
Brooklyn;1201 SURF AVENUE
Manhattan;55 GRAND STREET
Brooklyn;197 PATCHEN AVENUE
Queens;8904 QUEENS BLVD
Manhattan;128 ELIZABETH STREET
Brooklyn;5721 8th AVENUE
Brooklyn;660 FULTON STREET
Manhattan;3772 BROADWAY
Brooklyn;148 HOYT STREET
Bronx;524 EAST  240th STREET
Manhattan;205 ALLEN STREET
Manhattan;51 ASTOR PLACE
Manhattan;73 MOTT STREET
Manhattan;261 CANAL STREET
Manhattan;249 WEST   49th STREET
Bronx;200A WEST  231st STREET
Manhattan;129 2nd AVENUE
Manhattan;22 HOWARD STREET
Manhattan;1396 1st AVENUE
Brooklyn;263 HENDRIX STREET
Queens;11616 METROPOLITAN AVE
Manhattan;253 5th AVENUE
Brooklyn;139 BROADWAY
Brooklyn;118 MONTAGUE STREET
Brooklyn;143 GREENE AVENUE
Brooklyn;513 GRAND STREET
Queens;102-02 NORTHERN BOULEVARD
Manhattan;2310 BROADWAY
Brooklyn;232 TAAFFE PLACE
Brooklyn;1431 ROCKAWAY PARKWAY
Manhattan;1774 LEXINGTON AVENUE
Brooklyn;96 WYCKOFF AVENUE
Queens;64-15 39th AVENUE
Manhattan;2 WILLIAM STREET
Manhattan;20 AVENUE A
Brooklyn;609 SUTTER AVENUE
Staten Island;5373 ARTHUR KILL ROAD
Brooklyn;395 FLATBUSH AVENUE EXTENSION
Queens;217-19 JAMAICA AVENUE
Brooklyn;644 FLATBUSH AVENUE
Queens;5924 MYRTLE AVENUE
Queens;161-50 CROSSBAY BOULEVARD
Manhattan;128 WEST HOUSTON STREET
0;9420 GUY R BREWER BOULEVARD
Manhattan;32 BROADWAY
Brooklyn;626 NOSTRAND AVENUE
Manhattan;424 EAST   14th STREET
Brooklyn;3127 FULTON ST
Brooklyn;1635 CONEY ISLAND AVENUE
Brooklyn;142 SMITH STREET
Staten Island;977 VICTORY BOULEVARD
Queens;11817 QUEENS BLVD
Manhattan;245 WEST   51st STREET
Queens;129-08 20th AVENUE
Manhattan;55 WEST   26th STREET
Manhattan;161 EAST   22nd STREET
Brooklyn;8619 5th AVENUE
Manhattan;110 9th AVENUE
Brooklyn;365 5th AVENUE
Queens;55-27 108th STREET
Queens;8229 164TH ST
Queens;13518 JAMAICA AVE
Manhattan;131 CHRISTOPHER STREET
Bronx;3217 PHILIP AVENUE
Staten Island;375 TOMPKINS AVENUE
Manhattan;39 WEST   46th STREET
Manhattan;247 EAST   50th STREET
Manhattan;501 WEST  145th STREET
Queens;9904 63rd ROAD
Manhattan;41 WEST   33rd STREET
Manhattan;4973 BROADWAY
Bronx;1740 EASTCHESTER ROAD
Queens;61-13 SPRINGFIELD BOULEVARD
Manhattan;29 WEST   26th STREET
Bronx;7 WEST TREMONT AVENUE
Manhattan;1030 AMSTERDAM AVENUE
Brooklyn;456 SUTTER AVENUE
Manhattan;200 EAST   60th STREET
Manhattan;120 EAST   34th STREET
Queens;5412 FLUSHING AVE
Brooklyn;164 WYCKOFF AVENUE
Manhattan;11 BROADWAY
Manhattan;151 EAST   43rd STREET
Queens;21312 48TH AVENUE
Queens;218-20 JAMAICA AVENUE
Manhattan;33 EAST 61st ST STREET
Manhattan;454A LENOX AVENUE
Queens;8323 PARSONS BOULEVARD
Manhattan;14 MOTT STREET
Staten Island;11 SCHUYLER STREET
Manhattan;216 EAST   49th STREET
Manhattan;62 PEARL STREET
Manhattan;1220 5th AVENUE
Brooklyn;38 SOMERS STREET
Brooklyn;787 LIBERTY AVENUE
Bronx;4201 WEBSTER AVENUE
Queens;22-36 31st STREET
Manhattan;1731 2nd AVENUE
Brooklyn;717 KINGS HIGHWAY
Queens;4257 MAIN ST
Queens;4016A 150TH ST
Brooklyn;1404 CORTELYOU ROAD
Manhattan;52 MERCER STREET
Queens;60 JOHN F. KENNEDY AIRPORT
Manhattan;250 VESEY STREET
Manhattan;2261 ADAM CLAYTON POWELL JR BOULEVARD
Queens;135-32 ROCKAWAY BOULEVARD
Manhattan;56 IRVING PLACE
Brooklyn;759 NOSTRAND AVENUE
Manhattan;348 LENOX AVENUE
Staten Island;23 NELSON AVENUE
Queens;5846 MAIN ST
Brooklyn;557 DRIGGS AVENUE
Manhattan;2 PENN PLAZA
Manhattan;6 WEST    4th STREET
Brooklyn;6804 BAY PARKWAY
Brooklyn;1337 FULTON ST
Queens;4511 QUEENS BLVD
Brooklyn;696 WASHINGTON AVENUE
Brooklyn;2172 86th STREET
Queens;10-12 37th AVENUE
Queens;36-15 DITMARS BOULEVARD
Queens;7222 MAIN ST
Queens;33-09 BROADWAY
Queens;8265 PARSONS BLVD
Queens;7520 ASTORIA BLVD
Queens;2716 40TH AVE
Bronx;1995 WESTCHESTER AVENUE
Staten Island;26 JEFFERSON BOULEVARD
Queens;136-20 ROOSEVELT AVENUE
Manhattan;481 8th AVENUE
Manhattan;229 WEST   43rd STREET
Bronx;5677 RIVERDALE AVENUE
Staten Island;631 HOWARD AVENUE
Manhattan;98 8th AVENUE
Manhattan;1003 2nd AVENUE
Brooklyn;1776 OCEAN AVENUE
Manhattan;1644 3rd AVENUE
Manhattan;124 RIVINGTON STREET
Manhattan;138 WEST   72nd STREET
Brooklyn;7409 AVENUE U
Queens;41-28 MAIN STREET
Queens;11911 JAMAICA AVE
Brooklyn;661 SACKETT STREET
Queens;11106 FARMERS BOULEVARD
Manhattan;120 CEDAR STREET
Queens;5316 108TH ST
Queens;170-18 JAMAICA AVENUE
Queens;117-33 MYRTLE AVENUE
Brooklyn;94 BEDFORD AVENUE
Manhattan;149 SULLIVAN STREET
Queens;3765 74th STREET
Manhattan;1840 2nd AVENUE
Manhattan;357 WEST   16th STREET
Manhattan;9 CROSBY STREET
Manhattan;171 WEST   23rd STREET
Manhattan;110 RIVINGTON STREET
Brooklyn;1347 FLATBUSH AVENUE
Queens;2101 21ST AVE
Brooklyn;68 JAY STREET
Queens;11420 SUTPHIN BOULEVARD
Brooklyn;1920 AVENUE U
Queens;nan JFK INTERNATIONAL AIRPORT
Brooklyn;8812 4th AVENUE
Brooklyn;32 WITHERS STREET
Brooklyn;689 UTICA AVENUE
Brooklyn;8816 3rd AVENUE
Queens;17306 JAMAICA AVE
Brooklyn;24 WILLOUGHBY STREET
Bronx;58A WEST  183rd STREET
Queens;9118 ASTORIA BOULEVARD
Brooklyn;2026 NOSTRAND AVENUE
Bronx;459 CITY ISLAND AVENUE
Queens;223-24 SOUTH CONDUIT AVENUE
Brooklyn;412 5th AVENUE
Manhattan;42 BROADWAY
Manhattan;536 WEST   28th STREET
Manhattan;163 WEST   23rd STREET
Manhattan;113 LEXINGTON AVENUE
Queens;42-35 MAIN STREET
Brooklyn;5124 8th AVENUE
Queens;8959 164th STREET
Bronx;1041 PROSPECT AVENUE
Brooklyn;7206 3rd AVENUE
Manhattan;308 LENOX AVENUE
Manhattan;305 WEST   43rd STREET
Queens;7513 METROPOLITAN AVENUE
Brooklyn;806 NOSTRAND AVENUE
Bronx;2349 ARTHUR AVENUE
Queens;4715 NORTHERN BOULEVARD
Brooklyn;766 NOSTRAND AVENUE
Brooklyn;10013 FOSTER AVENUE
Bronx;624 MORRIS AVENUE
Brooklyn;1556 BROADWAY
Manhattan;283 AMSTERDAM AVENUE
Manhattan;1 RANDALLS ISLAND
Manhattan;156 EAST   33rd STREET
Manhattan;78-80 BAYARD ST
Bronx;769 BURKE AVENUE
Manhattan;4 SAINT MARKS PLACE
Bronx;1144 CASTLE HILL AVENUE
Brooklyn;178 WYCKOFF AVENUE
Brooklyn;1839 NOSTRAND AVENUE
Manhattan;121 MADISON AVENUE
Manhattan;1161 2nd AVENUE
Brooklyn;261263 5th AVENUE
Queens;138-40 101st AVENUE
Manhattan;300 WEST  114th STREET
Manhattan;29 WEST   36th STREET
Queens;4327 MAIN ST
Brooklyn;9216 3rd AVENUE
Manhattan;207 WEST   38th STREET
Manhattan;118 CHAMBERS STREET
Brooklyn;293 WYCKOFF AVENUE
Staten Island;1812 HYLAN BOULEVARD
Manhattan;1417 2nd AVENUE
Queens;3902 UNION ST
Bronx;4848 WHITE PLAINS ROAD
Queens;31-05 33rd STREET
Queens;9018 ROOSEVELT AVE
Manhattan;16 EAST   41st STREET
Queens;678 SENECA AVENUE
Manhattan;213 EAST BROADWAY
Manhattan;862 2nd AVENUE
Manhattan;51 DIVISION STREET
Manhattan;86 EAST    3rd STREET
Manhattan;2 WILLIAM STREET
Queens;3013 STEINWAY STREET
Bronx;729 EAST TREMONT AVENUE
Manhattan;788 9th AVENUE
Queens;3757B 94TH ST
Manhattan;1442 LEXINGTON AVENUE
Queens;49-09 NORTHERN BOULEVARD
Manhattan;178 CHURCH STREET
Manhattan;75 9th AVENUE
Queens;110-02 JAMAICA AVENUE
Brooklyn;7912 THIRD AVENUE
Queens;551 47TH AVE
Bronx;4759B WHITE PLAINS ROAD
Brooklyn;67 6th AVENUE
Brooklyn;570 HENRY STREET
Manhattan;58 WEST   56th STREET
Bronx;80 WEST  165th STREET
Queens;45-51 46th STREET
Manhattan;800 2nd AVENUE
Manhattan;300 WEST   57th STREET
Manhattan;129 LEXINGTON AVENUE
Manhattan;130 WEST  125th STREET
Queens;10509 CROSSBAY BLVD
Manhattan;441 EAST    6th STREET
Brooklyn;892 WYCKOFF AVENUE
Manhattan;100 CHURCH STREET
Queens;5542 METROPOLITAN AVE
Manhattan;181 AVENUE C
Queens;2632 SKILLMAN AVE
Brooklyn;52 7th AVENUE
Bronx;606 EAST  187th STREET
Manhattan;209 EAST  116th STREET
Manhattan;316 BOWERY
Brooklyn;1617 CHURCH AVENUE
Queens;11106 FARMERS BOULEVARD
Manhattan;128 WEST   29th STREET
Manhattan;1016 LEXINGTON AVENUE
Brooklyn;744 MYRTLE AVENUE
Manhattan;73 7th AVENUE SOUTH
Manhattan;81 ORCHARD STREET
Bronx;950 ALLERTON AVENUE
Brooklyn;103 NORTH    3rd STREET
Brooklyn;159 GREENPOINT AVENUE
Brooklyn;176 ATLANTIC AVENUE
Manhattan;1275 1st AVENUE
Manhattan;625 8th AVENUE
Manhattan;532 9th AVENUE
Manhattan;71 SULLIVAN STREET
Manhattan;808 WEST  181st STREET
Queens;44-14 KISSENA BOULEVARD
Manhattan;11 WAVERLY PLACE
Brooklyn;106 7th AVENUE
Manhattan;2276 12nd AVENUE
Manhattan;57 WEST   76th STREET
Manhattan;215 WEST   40th STREET
Bronx;987 EAST  233rd STREET
Brooklyn;8703 5th AVENUE
Brooklyn;963 FULTON STREET
Queens;3840 29TH ST
Manhattan;204 EAST   38th STREET
Manhattan;230 PARK AVENUE
Queens;1 JFK INTL AIRPORT BLVD
Bronx;494 EAST  138th STREET
Brooklyn;1533 MYRTLE AVENUE
Queens;130-02 101st AVENUE
Brooklyn;559 LORIMER STREET
Brooklyn;175 SMITH STREET
Manhattan;630 9th AVENUE
Manhattan;700 8th AVENUE
Brooklyn;1968 CONEY ISLAND AVENUE
Brooklyn;18 WHITWELL PLACE
Manhattan;1003 2nd AVENUE
Queens;9918 37TH AVE
Queens;86-10 37th AVENUE
Manhattan;592 9th AVENUE
Manhattan;61 READE STREET
Brooklyn;84 HOYT STREET
Manhattan;60 WEST  129th STREET
Manhattan;1580 3rd AVENUE
Bronx;6100 RIVERDALE AVENUE
Manhattan;1114 AVENUE OF THE AMERICAS
Queens;6924 METROPOLITAN AVENUE
Queens;10802B NORTHERN BLVD
Manhattan;792 LEXINGTON AVENUE
Manhattan;30 PRINCE STREET
Manhattan;284 LENOX AVENUE
Bronx;931 WESTCHESTER AVENUE
Manhattan;0 AMTRAK LEVEL
Manhattan;128 EAST    7th STREET
Queens;11002 LIBERTY AVE
Queens;14-23 150th STREET
Brooklyn;5502 7th AVENUE
Queens;675 ONDERDONK AVENUE
Queens;9630 QUEENS BLVD
Manhattan;489 AMSTERDAM AVENUE
Manhattan;178 CHURCH STREET
Brooklyn;1276 FULTON STREET
Queens;8901 37TH AVE
Queens;178-01 UNION TURNPIKE
Queens;8405 QUEENS BLVD
Brooklyn;98 MALCOLM X BOULEVARD
Brooklyn;6903 3rd AVENUE
Queens;17104 NORTHERN BLVD
Queens;9709 64TH AVE
Manhattan;18 EAST BROADWAY
Queens;69-61 JUNIPER BLVD SOUTH
Queens;6030 MAURICE AVE
Manhattan;378 8th AVENUE
Manhattan;550 3rd AVENUE
Queens;11407 BEACH CHANNEL DR
Brooklyn;366 UTICA AVENUE
Brooklyn;445 GRAHAM AVENUE
Brooklyn;394 BROADWAY
Manhattan;1177 AVENUE OF THE AMERICAS
Manhattan;47 WEST   55th STREET
Brooklyn;4106 2nd AVENUE
Queens;120-38 QUEENS BOULEVARD
Queens;4232 CRESCENT ST
Queens;61-32 SPRINGFIELD BOULEVARD
Manhattan;34 WEST   32nd STREET
Queens;0 126th ST & Roosevelt Ave
Manhattan;807 LEXINGTON AVENUE
Manhattan;662 9th AVENUE
Manhattan;1322 2nd AVENUE
Manhattan;1346 AMSTERDAM AVENUE
Manhattan;161 WEST  106th STREET
Brooklyn;342 WYTHE AVENUE
Queens;3346 LINDEN PL
Manhattan;49 BROADWAY
Staten Island;4371 AMBOY ROAD
Queens;1804 COLLEGE POINT BLVD
Manhattan;224 AVENUE B
Manhattan;5 OLIVER STREET
Manhattan;158 WEST   44th STREET
Queens;119-30 METROPOLITAN AVENUE
Brooklyn;4614 NEW UTRECHT AVENUE
Manhattan;111 MACDOUGAL STREET
Bronx;1460 WESTCHESTER AVENUE
Queens;8902 165th STREET
Queens;11817 QUEENS BLVD
Manhattan;648 9th AVENUE
Bronx;63 EAST KINGSBRIDGE ROAD
Brooklyn;842 FRANKLIN AVENUE
Manhattan;969 1st AVENUE
Queens;8701 ROOSEVELT AVENUE
Brooklyn;2201 AVENUE X
Brooklyn;777 SARATOGA AVENUE
Brooklyn;450 DEAN STREET
Manhattan;27 AVENUE B
Brooklyn;1297 FULTON ST
Brooklyn;88 LIVINGSTON STREET
Brooklyn;742 FRANKLIN AVENUE
Queens;4403 30th AVENUE
Queens;5607 MARATHON PKWY
Queens;5404 MYRTLE AVE
Brooklyn;10001 4th AVENUE
Bronx;3740 WHITE PLAINS ROAD
Brooklyn;200 COURT STREET
Manhattan;1555 LEXINGTON AVENUE
Manhattan;200 MOTT STREET
Manhattan;222 WEST   79th STREET
Manhattan;12 EAST   41st STREET
Brooklyn;942 FLUSHING AVENUE
Queens;22-36 31st STREET
Manhattan;4946 BROADWAY
Manhattan;216 3rd AVENUE
Brooklyn;216 ROSS STREET
