BORO;STREET
Brooklyn;6208 11st AVENUE
Bronx;805 ZEREGA AVENUE
Manhattan;189 WEST   10th STREET
Queens;49-10 SKILLMAN AVENUE
Queens;47-20 CENTER BOULEVARD
Queens;89-52 ELMHURST AVENUE
Manhattan;6 WEST   24th STREET
Manhattan;242 EAST   10th STREET
Manhattan;155 EAST   55th STREET
Manhattan;120 ORCHARD STREET
Manhattan;1422 ST NICHOLAS AVENUE
Manhattan;121 MADISON AVENUE
Brooklyn;90 CHURCH AVENUE
Brooklyn;19421944 CONEY ISLAND AVENUE
Manhattan;151 WEST   34th STREET
Manhattan;2089 AMSTERDAM AVENUE
Manhattan;287 7th AVENUE
Manhattan;121 MADISON AVENUE
Queens;3908 64th STREET
Manhattan;37 SAINT MARKS PLACE
Staten Island;2945 VETERANS ROAD WEST
Manhattan;711 2nd AVENUE
Manhattan;380 LAFAYETTE STREET
Brooklyn;2892 FULTON STREET
Manhattan;673 9th AVENUE
Brooklyn;280 BEDFORD AVENUE
Manhattan;1 EAST   55th STREET
Manhattan;783 5th AVENUE
Manhattan;310 WEST   38th STREET
Queens;253-17 NORTHERN BOULEVARD
Brooklyn;855 4th AVENUE
Brooklyn;247 DEKALB AVENUE
Brooklyn;1431 ROCKAWAY PARKWAY
Manhattan;1900 BROADWAY
Manhattan;227 CENTRE STREET
Brooklyn;1328 SHEEPSHEAD BAY ROAD
Manhattan;155 EAST   42nd STREET
Queens;000 126TH ST & ROOSEVELT AVENUE
Brooklyn;922A 4th AVENUE
Queens;107-23 LIBERTY AVENUE
Queens;68-25 FRESH MEADOW LANE
Manhattan;377 1st AVENUE
